bb_window,bb_std,vwap_threshold,adx_threshold,trend_filter_window,atr_multiplier,max_hold_bars,sharpe,sortino,total_return_%,max_drawdown_%,win_rate_%,trades,profit_factor
20,2.5,0.005,25,100,5.0,24,0.88,2.284,0.14,-0.03,100.0,3,inf
20,2.5,0.005,25,100,5.0,14,0.88,2.284,0.14,-0.03,100.0,3,inf
20,2.5,0.005,25,100,5.0,18,0.88,2.284,0.14,-0.03,100.0,3,inf
20,2.5,0.005,25,100,3.0,14,0.88,2.284,0.14,-0.03,100.0,3,inf
20,2.5,0.005,25,100,3.0,18,0.88,2.284,0.14,-0.03,100.0,3,inf
20,2.5,0.005,25,100,3.0,24,0.88,2.284,0.14,-0.03,100.0,3,inf
20,2.5,0.005,25,100,4.0,14,0.88,2.284,0.14,-0.03,100.0,3,inf
20,2.5,0.005,25,100,4.0,18,0.88,2.284,0.14,-0.03,100.0,3,inf
20,2.5,0.005,25,100,4.0,24,0.88,2.284,0.14,-0.03,100.0,3,inf
20,2.5,0.005,25,50,5.0,14,0.75,0.0,0.05,-0.01,100.0,1,inf
20,2.5,0.005,25,50,5.0,24,0.75,0.0,0.05,-0.01,100.0,1,inf
20,2.5,0.005,25,50,4.0,24,0.75,0.0,0.05,-0.01,100.0,1,inf
20,2.5,0.005,25,50,4.0,18,0.75,0.0,0.05,-0.01,100.0,1,inf
20,2.5,0.005,25,50,3.0,24,0.75,0.0,0.05,-0.01,100.0,1,inf
20,2.5,0.005,25,50,3.0,18,0.75,0.0,0.05,-0.01,100.0,1,inf
20,2.5,0.005,25,50,3.0,14,0.75,0.0,0.05,-0.01,100.0,1,inf
20,2.5,0.005,25,50,5.0,18,0.75,0.0,0.05,-0.01,100.0,1,inf
20,2.5,0.005,25,50,4.0,14,0.75,0.0,0.05,-0.01,100.0,1,inf
10,2.0,0.005,20,50,3.0,18,0.731,0.261,0.82,-0.29,50.0,6,3.422
10,2.0,0.005,20,50,5.0,18,0.706,0.264,0.79,-0.31,50.0,6,3.17
