bb_window,atr_multiplier_scale,max_hold_bars_scale,adx_window,adx_threshold,min_trending_adx,fast_ema,slow_ema,rsi_window,rsi_ob,trend_filter_window,market_sma_window,sharpe,sortino,total_return_%,max_drawdown_%,win_rate_%,trades,profit_factor
20,1.25,1.0,14,25,40,9,20,14,70,100,200,0.071,0.018,0.49,-10.02,71.9,32,1.445
20,1.5,1.0,14,25,40,9,20,14,70,100,200,0.07,0.018,0.47,-10.02,71.9,32,1.414
20,1.25,1.0,14,25,40,9,20,14,70,100,100,0.067,0.017,-0.05,-10.06,62.1,29,0.962
20,1.25,1.5,14,25,40,9,20,14,70,100,200,0.067,0.018,0.4,-10.02,71.9,32,1.363
20,1.25,1.0,14,25,40,9,20,14,70,100,0,0.067,0.02,-0.06,-10.28,60.5,43,0.968
20,1.5,1.5,14,25,40,9,20,14,70,100,200,0.066,0.018,0.38,-10.02,71.9,32,1.334
20,1.0,1.0,14,25,40,9,20,14,70,100,100,0.065,0.016,-0.13,-10.14,56.7,30,0.911
20,1.0,1.0,14,25,40,9,20,14,70,100,200,0.065,0.017,0.37,-10.14,66.7,33,1.311
20,1.5,1.0,14,25,40,9,20,14,70,100,100,0.065,0.016,-0.13,-10.06,62.1,29,0.913
20,1.25,1.5,14,25,40,9,20,14,70,100,0,0.064,0.02,-0.15,-10.34,60.5,43,0.922
20,1.25,1.5,14,25,40,9,20,14,70,100,100,0.064,0.017,-0.14,-10.12,62.1,29,0.898
20,1.0,1.0,14,25,40,9,20,14,70,100,0,0.063,0.019,-0.19,-10.24,56.8,44,0.906
20,1.5,1.0,14,25,40,9,20,14,70,100,0,0.063,0.019,-0.18,-10.32,60.5,43,0.912
20,1.0,1.5,14,25,40,9,20,14,70,100,100,0.062,0.016,-0.22,-10.14,56.7,30,0.848
20,1.5,1.5,14,25,40,9,20,14,70,100,100,0.062,0.016,-0.22,-10.12,62.1,29,0.853
20,1.0,1.5,14,25,40,9,20,14,70,100,200,0.061,0.016,0.28,-10.14,66.7,33,1.234
20,1.0,1.5,14,25,40,9,20,14,70,100,0,0.06,0.018,-0.28,-10.3,56.8,44,0.861
20,1.5,1.5,14,25,40,9,20,14,70,100,0,0.06,0.019,-0.27,-10.38,60.5,43,0.868
20,0.75,1.0,14,25,40,9,20,14,70,100,100,0.057,0.014,-0.4,-10.14,51.6,31,0.76
20,0.75,1.0,14,25,40,9,20,14,70,100,0,0.056,0.016,-0.4,-10.22,52.2,46,0.823
20,0.75,1.0,14,25,40,9,20,14,70,100,200,0.054,0.013,0.1,-10.14,60.6,33,1.078
20,0.75,1.5,14,25,40,9,20,14,70,100,0,0.054,0.016,-0.48,-10.29,52.2,46,0.791
20,0.75,1.5,14,25,40,9,20,14,70,100,100,0.054,0.013,-0.47,-10.2,51.6,31,0.717
20,0.75,1.5,14,25,40,9,20,14,70,100,200,0.05,0.013,0.03,-10.14,60.6,33,1.024
20,0.75,0.5,14,25,40,9,20,14,70,100,100,0.049,0.012,-0.62,-10.18,48.4,31,0.627
20,1.25,0.5,14,25,40,9,20,14,70,100,100,0.046,0.011,-0.72,-10.19,51.7,29,0.577
20,1.0,0.5,14,25,40,9,20,14,70,100,100,0.044,0.011,-0.8,-10.25,46.7,30,0.549
20,0.75,0.5,14,25,40,9,20,14,70,100,0,0.043,0.012,-0.82,-10.31,50.0,46,0.657
20,1.25,0.5,14,25,40,9,20,14,70,100,0,0.042,0.012,-0.85,-10.29,53.5,43,0.627
20,1.5,0.5,14,25,40,9,20,14,70,100,100,0.041,0.01,-0.87,-10.23,51.7,29,0.533
20,1.25,0.5,14,25,40,9,20,14,70,100,200,0.04,0.01,-0.19,-10.06,62.5,32,0.858
20,0.75,0.5,14,25,40,9,20,14,70,100,200,0.04,0.01,-0.21,-10.17,57.6,33,0.845
20,1.5,0.5,14,25,40,9,20,14,70,100,0,0.037,0.011,-0.99,-10.33,53.5,43,0.591
20,1.0,0.5,14,25,40,9,20,14,70,100,0,0.036,0.01,-1.05,-10.45,50.0,44,0.573
20,1.5,0.5,14,25,40,9,20,14,70,100,200,0.036,0.009,-0.28,-10.06,62.5,32,0.803
20,1.0,0.5,14,25,40,9,20,14,70,100,200,0.035,0.009,-0.32,-10.18,57.6,33,0.781
10,1.25,1.0,14,25,40,9,20,14,70,100,100,0.03,0.01,-1.22,-10.1,51.0,51,0.635
10,1.25,1.5,14,25,40,9,20,14,70,100,100,0.03,0.01,-1.23,-10.09,51.0,51,0.631
10,1.25,0.5,14,25,40,9,20,14,70,100,100,0.028,0.009,-1.3,-10.21,45.1,51,0.592
10,0.75,1.5,14,25,40,9,20,14,70,100,100,0.023,0.007,-1.47,-10.32,45.3,53,0.589
10,0.75,1.0,14,25,40,9,20,14,70,100,100,0.023,0.007,-1.48,-10.32,45.3,53,0.588
10,1.5,0.5,14,25,40,9,20,14,70,100,100,0.023,0.007,-1.46,-10.24,45.1,51,0.563
10,1.5,1.5,14,25,40,9,20,14,70,100,100,0.022,0.007,-1.48,-10.16,51.0,51,0.586
10,1.5,1.0,14,25,40,9,20,14,70,100,100,0.022,0.007,-1.47,-10.16,51.0,51,0.59
10,0.75,0.5,14,25,40,9,20,14,70,100,100,0.02,0.006,-1.57,-10.32,41.5,53,0.554
10,1.0,1.0,14,25,40,9,20,14,70,100,100,0.014,0.004,-1.75,-10.21,46.2,52,0.541
10,1.5,1.5,14,25,40,9,20,14,70,100,0,0.013,0.005,-1.76,-10.54,50.0,70,0.612
10,1.0,1.5,14,25,40,9,20,14,70,100,100,0.013,0.004,-1.77,-10.23,46.2,52,0.537
10,1.5,1.0,14,25,40,9,20,14,70,100,0,0.012,0.005,-1.8,-10.59,51.4,70,0.607
10,1.5,1.5,14,25,40,9,20,14,70,100,200,0.009,0.003,-0.9,-10.05,55.6,54,0.725
10,1.25,1.0,14,25,40,9,20,14,70,100,0,0.007,0.003,-1.95,-10.56,50.0,70,0.573
