bb_window,bb_std,vwap_threshold,adx_threshold,trend_filter_window,atr_multiplier,max_hold_bars,sharpe,sortino,total_return_%,max_drawdown_%,win_rate_%,trades,profit_factor
20,2.0,0.003,25,50,3.0,8,0.71,0.39,0.4,-0.2,75.0,8,4.468
20,2.0,0.003,25,50,3.0,12,0.71,0.39,0.4,-0.2,75.0,8,4.468
20,2.0,0.003,25,50,1.5,6,0.705,0.387,0.4,-0.2,75.0,8,4.363
20,2.0,0.003,25,50,2.0,6,0.705,0.387,0.4,-0.2,75.0,8,4.363
20,2.0,0.003,25,50,2.5,6,0.705,0.387,0.4,-0.2,75.0,8,4.363
20,2.0,0.003,25,50,3.0,6,0.705,0.387,0.4,-0.2,75.0,8,4.363
20,2.0,0.003,25,50,2.0,8,0.648,0.329,0.37,-0.23,75.0,8,3.484
20,2.0,0.003,25,50,1.5,8,0.648,0.329,0.37,-0.23,75.0,8,3.484
20,2.0,0.003,25,50,1.5,12,0.648,0.329,0.37,-0.23,75.0,8,3.484
20,2.0,0.003,25,50,2.0,12,0.648,0.329,0.37,-0.23,75.0,8,3.484
20,2.0,0.003,25,50,2.5,8,0.622,0.287,0.35,-0.24,75.0,8,3.207
20,2.0,0.003,25,50,2.5,12,0.622,0.287,0.35,-0.24,75.0,8,3.207
20,2.0,0.003,20,100,3.0,12,0.49,0.164,0.35,-0.19,73.3,15,1.933
20,2.0,0.003,20,50,3.0,8,0.485,0.252,0.23,-0.12,75.0,4,3.518
20,2.0,0.003,20,50,3.0,12,0.485,0.252,0.23,-0.12,75.0,4,3.518
20,2.0,0.003,20,50,2.0,6,0.479,0.249,0.23,-0.13,75.0,4,3.416
20,2.0,0.003,20,50,3.0,6,0.479,0.249,0.23,-0.13,75.0,4,3.416
20,2.0,0.003,20,50,2.5,6,0.479,0.249,0.23,-0.13,75.0,4,3.416
10,1.2,0.003,20,50,2.0,12,0.479,0.195,0.55,-0.45,62.5,32,1.536
20,2.0,0.003,20,50,1.5,6,0.479,0.249,0.23,-0.13,75.0,4,3.416
10,2.0,0.003,20,100,2.5,12,0.472,0.144,0.37,-0.21,75.0,16,1.633
20,2.0,0.003,20,100,2.5,12,0.467,0.171,0.33,-0.22,73.3,15,1.837
20,1.2,0.003,20,100,2.5,12,0.45,0.181,0.41,-0.35,65.5,29,1.476
20,1.2,0.003,20,100,3.0,12,0.449,0.187,0.41,-0.33,65.5,29,1.479
10,1.2,0.003,20,50,1.5,12,0.432,0.176,0.49,-0.45,62.5,32,1.434
10,1.2,0.003,20,50,2.0,8,0.432,0.174,0.5,-0.45,62.5,32,1.481
10,1.2,0.003,20,50,2.0,6,0.416,0.167,0.48,-0.45,62.5,32,1.461
20,1.2,0.01,25,100,2.5,12,0.415,0.056,0.04,-0.02,100.0,1,inf
20,1.2,0.01,25,100,3.0,6,0.415,0.056,0.04,-0.02,100.0,1,inf
10,1.5,0.01,25,100,3.0,6,0.415,0.056,0.04,-0.02,100.0,1,inf
20,1.2,0.01,25,100,1.5,6,0.415,0.056,0.04,-0.02,100.0,1,inf
20,1.2,0.01,25,100,2.5,8,0.415,0.056,0.04,-0.02,100.0,1,inf
20,1.2,0.01,25,100,2.5,6,0.415,0.056,0.04,-0.02,100.0,1,inf
20,1.2,0.01,25,100,2.0,8,0.415,0.056,0.04,-0.02,100.0,1,inf
20,1.2,0.01,25,100,2.0,6,0.415,0.056,0.04,-0.02,100.0,1,inf
20,1.2,0.01,25,100,1.5,12,0.415,0.056,0.04,-0.02,100.0,1,inf
10,1.5,0.01,25,100,3.0,8,0.415,0.056,0.04,-0.02,100.0,1,inf
10,1.5,0.01,25,100,3.0,12,0.415,0.056,0.04,-0.02,100.0,1,inf
20,1.2,0.01,25,100,1.5,8,0.415,0.056,0.04,-0.02,100.0,1,inf
20,1.2,0.01,25,100,2.0,12,0.415,0.056,0.04,-0.02,100.0,1,inf
20,2.0,0.01,25,100,3.0,12,0.415,0.056,0.04,-0.02,100.0,1,inf
10,1.5,0.01,25,100,2.5,12,0.415,0.056,0.04,-0.02,100.0,1,inf
10,1.2,0.01,25,100,3.0,8,0.415,0.056,0.04,-0.02,100.0,1,inf
10,1.2,0.01,25,100,2.5,8,0.415,0.056,0.04,-0.02,100.0,1,inf
10,1.2,0.01,25,100,2.5,6,0.415,0.056,0.04,-0.02,100.0,1,inf
10,1.2,0.01,25,100,2.0,12,0.415,0.056,0.04,-0.02,100.0,1,inf
