trade,ticker,tier,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason
1,CBA,stable,2024-07-05 16:00,2024-07-08 12:00,127.16,126.45,78.6,-76.37,signal
2,GMG,medium,2024-07-08 15:00,2024-07-09 11:00,35.04,35.12,285.1,2.79,signal
3,WOW,stable,2024-07-23 15:00,2024-07-24 10:00,34.87,34.5,286.6,-124.87,stop
4,CSL,medium,2024-07-24 14:00,2024-07-25 11:00,310.49,308.96,32.1,-69.17,signal
5,SHL,medium,2024-08-01 15:00,2024-08-02 11:00,27.39,27.09,364.1,-131.86,signal
6,COL,stable,2024-08-30 14:00,2024-09-02 10:00,18.73,18.75,531.6,-11.36,signal
7,WBC,stable,2024-09-13 13:00,2024-09-16 10:00,32.0,32.25,311.3,60.27,signal
8,SHL,medium,2024-10-17 10:00,2024-10-18 11:00,27.71,27.17,359.6,-215.04,signal
9,WES,stable,2024-10-18 14:00,2024-10-21 12:00,70.35,70.8,141.4,44.94,signal
10,SHL,medium,2024-10-29 14:00,2024-10-30 11:00,27.39,27.61,363.1,57.17,signal
11,NAB,stable,2024-11-20 15:00,2024-11-21 11:00,39.21,39.7,253.9,104.53,signal
12,WBC,stable,2025-01-10 11:00,2025-01-10 12:00,32.84,32.48,303.4,-131.1,stop
13,NAB,stable,2025-01-17 16:00,2025-01-20 12:00,37.8,37.93,263.3,14.79,signal
14,CBA,stable,2025-02-14 12:00,2025-02-17 10:00,165.34,163.12,60.2,-153.79,stop
15,WOW,stable,2025-02-14 10:00,2025-02-14 11:00,30.64,30.7,324.9,2.52,signal
16,NAB,stable,2025-04-22 16:00,2025-04-23 11:00,33.85,34.81,293.6,263.52,signal
17,MQG,medium,2025-05-08 15:00,2025-05-13 12:00,195.33,217.17,51.0,1094.25,timeout
18,WES,stable,2025-05-12 14:00,2025-05-13 11:00,80.01,80.31,112.1,13.6,signal
19,GMG,medium,2025-05-13 14:00,2025-05-14 12:00,31.42,31.23,320.7,-79.75,signal
20,CSL,medium,2025-05-29 10:00,2025-05-29 15:00,249.54,247.98,40.3,-83.28,signal
21,WES,stable,2025-06-10 10:00,2025-06-10 11:00,84.19,84.52,119.5,19.5,signal
22,CBA,stable,2025-06-11 16:00,2025-06-12 12:00,181.49,182.05,55.4,11.22,signal
23,CBA,stable,2025-06-12 15:00,2025-06-13 12:00,181.19,179.29,55.5,-125.59,stop
24,ANZ,stable,2025-06-13 10:00,2025-06-13 11:00,29.86,29.55,303.2,-115.02,stop
25,COL,stable,2025-06-16 15:00,2025-06-17 11:00,22.1,22.13,454.1,-7.34,signal
26,COL,stable,2025-06-17 13:00,2025-06-18 11:00,21.96,22.03,457.0,13.36,signal
27,SHL,medium,2025-06-17 14:00,2025-06-19 14:00,26.73,26.33,337.8,-157.35,signal
28,NAB,stable,2025-07-15 13:00,2025-07-16 10:00,39.54,39.13,253.4,-125.18,stop
29,EVN,medium,2025-07-16 16:00,2025-07-17 11:00,7.52,7.52,1330.4,-30.0,signal
30,WES,stable,2025-07-22 15:00,2025-07-23 12:00,83.23,83.11,120.2,-34.81,signal
31,NAB,stable,2025-08-01 12:00,2025-08-01 14:00,38.23,38.32,261.7,2.69,signal
32,WBC,stable,2025-08-08 16:00,2025-08-11 11:00,33.68,33.9,297.0,45.71,signal
33,WOW,stable,2025-08-08 16:00,2025-08-12 12:00,31.53,32.06,285.5,133.68,signal
34,WES,stable,2025-08-19 16:00,2025-08-20 11:00,90.14,91.5,111.2,131.69,signal
35,WOW,stable,2025-08-19 12:00,2025-08-19 15:00,32.21,32.32,311.2,15.08,signal
36,GMG,medium,2026-01-02 11:00,2026-01-02 13:00,30.69,30.86,327.1,36.98,signal
37,EVN,medium,2026-01-08 15:00,2026-01-09 11:00,12.78,13.02,785.8,170.24,signal
38,WES,stable,2026-01-19 13:00,2026-01-20 11:00,82.41,83.83,122.0,152.9,signal
39,RIO,medium,2026-01-20 12:00,2026-01-22 16:00,147.74,150.94,68.2,198.19,timeout
40,NAB,stable,2026-02-10 15:00,2026-02-11 10:00,43.77,44.29,207.5,87.05,signal
41,COL,stable,2026-02-10 15:00,2026-02-11 10:00,21.61,21.83,378.3,64.46,signal
42,ANZ,stable,2026-02-10 14:00,2026-02-11 12:00,37.1,37.17,272.0,-2.9,signal
43,WOW,stable,2026-02-13 15:00,2026-02-16 11:00,31.9,32.08,316.9,37.99,signal
44,NAB,stable,2026-02-17 14:00,2026-02-18 11:00,45.41,47.17,222.6,370.44,signal
45,COL,stable,2026-02-19 14:00,2026-02-19 15:00,22.09,21.86,459.3,-126.5,stop
